"id_estudiante","beca","ingreso_familiar","escolaridad_madre","escolaridad_padre","num_hermanos","rural","indigena","distancia_escuela","mujer","edad","calificacion_previa","asistencia_previa","calificacion","asistencia","desercion"
88,0,6333.68,6,0,1,1,1,5.21,1,18,90.7,98,90.8,100,0
89,0,12446.8,12,9,5,1,0,5.36,0,14,98,98,100,95.4,0
90,0,15676.16,9,3,3,0,0,0.33,1,13,98,98,98.8,100,0
91,1,3747.63,6,12,2,0,0,0.9,1,15,83.2,98,94.4,100,0
92,0,4088.5,0,6,2,0,0,0.43,0,12,70.9,95.5,77.1,100,0
93,0,36664.25,3,9,5,0,1,0.09,0,14,98,98,100,100,0
94,1,5922.68,12,3,2,0,0,0.76,0,15,88.2,98,100,100,0
95,0,3697.8,0,9,0,1,0,0.42,1,14,71.7,88,81.5,83.7,0
96,0,14042.81,3,0,2,1,0,2.49,1,12,98,98,100,96.3,0
97,0,5409.79,6,3,5,1,0,0.37,1,12,74.4,98,73,99.1,0
98,0,45532.24,0,6,3,1,0,5.53,1,15,98,98,96,97.3,0
99,0,5014.87,3,3,2,1,0,3.6,1,14,76.1,88.8,71.1,79.4,0
100,0,4648.79,9,3,1,0,0,0.04,0,15,86.7,98,89.4,100,0
101,0,9692.82,12,16,2,0,0,0.41,1,16,98,98,99.4,100,0
102,1,3213.2,9,9,6,0,0,0.32,1,16,97.8,98,100,100,0
103,0,11360.92,6,6,1,1,0,5.54,1,16,98,98,85.5,99.4,0
104,0,2807.91,12,9,2,0,0,0.58,1,13,90.2,98,92.4,100,0
105,0,9071.27,6,3,4,1,0,1.71,0,15,84.2,98,94.4,100,0
106,0,5277.26,9,3,2,1,0,0.91,1,13,97.2,98,96.6,100,0
107,0,6315.2,12,3,5,0,0,0.35,1,15,94.6,98,100,99.2,0
108,0,28138.32,16,0,0,0,0,1.23,0,14,98,98,96.5,100,0
109,0,5662.23,0,0,1,0,0,1.58,0,16,69.2,98,66.9,100,0
110,0,10476.59,0,3,4,0,0,0.15,1,15,87.3,98,81.2,96,0
111,0,3028.62,3,3,3,0,0,2.88,1,16,65.7,98,58.4,100,0
112,0,2809.48,3,6,2,0,1,0.49,0,14,85.9,87.5,81.6,88.4,0
113,0,22225.46,6,0,1,0,0,0.4,0,15,98,98,95.6,100,0
114,0,23280.83,9,6,2,0,0,1.73,1,17,98,98,90.6,97.5,0
115,0,7596.15,0,3,1,1,0,6.37,1,16,88.5,98,97.8,100,0
116,0,5409.59,0,12,1,0,0,1.61,1,15,89.9,98,89.8,96.3,0
117,0,7771.96,0,3,4,1,1,2.68,1,14,68.5,96.9,64.4,93.1,0
118,0,13401.05,3,16,4,0,1,0.46,0,15,98,98,93.2,91.2,0
119,0,46351.17,3,9,4,0,1,1.43,1,13,98,98,97.4,100,0
120,0,7667.81,9,6,2,0,0,0.12,0,15,98,98,90.4,93.8,0
121,0,27886.3,3,6,3,0,0,1.19,0,15,98,98,100,94.8,0
122,0,23322.21,12,6,3,0,0,0.19,1,13,98,98,98.1,99,0
123,0,10485.21,9,6,2,0,0,0.56,0,16,98,98,97.1,92.2,0
124,0,27577.74,6,6,4,0,0,0.64,0,17,98,98,96.5,94.4,0
125,0,5784.91,0,12,3,0,1,0.43,1,15,89.9,98,78.3,100,0
126,1,3206.53,9,6,4,0,0,0.01,0,13,98,98,93.2,100,0
127,1,1851.41,0,6,5,1,0,6.44,1,14,58.2,73.4,74.2,100,0
128,0,20452.5,0,6,3,1,0,0.66,1,14,98,98,100,100,0
129,1,1482.02,3,9,2,0,0,0.13,1,13,79.3,98,91.6,100,0
130,1,3112.48,9,3,4,0,0,0.64,0,17,81.2,98,94.8,100,0
131,0,30144.37,0,9,2,1,0,0.28,1,13,98,98,93.3,100,0
132,0,16430.98,6,16,2,0,1,0.02,1,16,98,98,100,96.1,0
133,0,12331.36,3,12,2,1,1,1.02,0,15,98,98,96.8,100,0
134,0,3140.93,9,9,5,1,0,2.49,1,14,79.9,91.6,82,96.5,0
135,0,67821.23,12,6,1,0,0,0.1,0,13,98,98,93.7,100,0
136,0,3504.03,0,6,1,1,0,5.59,0,13,69.7,80,62.9,82.2,0
137,0,3608.7,6,6,4,1,0,5.89,1,16,72.1,98,76.8,95.8,0
138,0,13837.5,12,3,1,1,0,15.42,0,16,98,98,100,89.5,0
139,0,8985.27,9,6,4,1,0,1.64,1,16,98,98,100,100,0
140,0,5778.73,12,9,2,1,0,1.84,1,14,98,98,100,99.3,0
141,0,3254.48,3,9,3,0,0,0.28,1,15,86.6,98,83.2,100,0
142,1,2878.51,3,6,3,1,0,0.78,1,16,63,81.1,80.8,100,0
143,0,5035.36,12,12,6,0,1,0.77,0,14,98,98,99.9,94.2,0
144,1,2439.01,0,6,2,0,1,0.27,0,16,66.6,98,77.8,100,0
145,0,8206.52,0,9,6,1,0,0.17,1,16,73,98,80.7,94.6,0
146,0,12483.16,3,0,6,0,0,1.11,1,16,98,98,100,92.5,0
147,1,2349.99,3,9,1,1,1,1.04,1,17,72.1,90.2,83.3,100,0
148,0,15990.06,16,12,2,1,0,1.15,0,16,98,98,96.8,100,0
149,0,16594.23,6,12,3,0,0,2.96,0,17,98,98,100,100,0
150,0,9053.92,12,9,5,1,0,1.72,1,15,98,98,90.9,94.6,0
151,0,2218.39,6,3,2,0,0,1.05,1,14,66.6,92.4,67.9,96.1,0
152,0,12565.6,0,3,2,0,0,0.26,0,16,98,98,98.5,89.7,0
153,0,9473.23,6,9,1,0,0,0.08,0,15,90.7,98,93,94.8,0
154,0,4250.54,6,12,2,1,0,2.48,0,15,82,96.7,78.2,98,0
155,0,7428.66,0,6,5,1,0,0.09,1,14,83.6,98,86.2,86.8,0
156,0,6629.22,6,3,4,0,0,0.5,0,16,75.9,98,77.1,100,0
157,0,31554.68,0,6,1,0,1,0.64,1,13,98,98,100,100,0
158,0,6152.18,3,12,1,0,0,0.73,0,12,96.8,98,100,96.8,0
159,0,8554.54,6,6,1,0,0,1.55,1,15,89.9,98,89.7,100,0
160,1,4815.25,3,6,1,0,1,0.16,1,13,71.2,98,79.4,100,0
161,0,5485.64,0,3,5,0,0,0.4,1,16,71,97.6,85.1,91.8,0
162,0,10327.04,0,0,2,1,0,3.92,1,17,86.4,98,92.7,100,0
163,0,6676.98,0,0,4,0,0,1.24,0,17,90.6,98,99.7,94.4,0
164,0,5511.62,9,0,4,0,1,1.75,0,16,92.5,98,90.2,93.7,0
165,0,3664.91,12,0,0,1,1,4.83,1,15,73.7,98,74.2,98,0
166,0,6473.55,6,3,5,1,0,14.08,0,12,81.3,98,81.9,100,0
167,0,13445.69,3,3,4,1,0,2.12,1,14,92.8,98,90.1,100,0
168,0,3005.34,3,3,5,1,0,0.04,1,17,44.4,82.8,36.1,82.2,0
169,0,33238.07,9,6,2,1,1,0.55,1,13,98,98,98.1,100,0
170,0,7951.02,6,9,3,1,0,5.31,0,18,98,98,99.2,100,0
171,0,9508.45,3,12,1,0,1,0.37,0,15,98,98,94.4,99.8,0
172,0,23807.46,3,6,2,0,0,0.56,1,14,98,98,100,92.4,0
173,0,8340.34,12,9,4,0,0,0.42,0,14,98,98,98.4,100,0
174,0,15672.53,0,0,4,0,0,0.8,0,16,98,98,100,94.3,0
175,1,2075.3,9,6,4,1,0,6.08,1,14,67,84.9,84.7,96,0
176,0,11905.55,12,9,2,0,0,0.01,1,17,98,98,100,99,0
177,0,59091.36,9,9,3,1,1,7.02,0,17,98,98,87.1,99.2,0
178,0,11171.17,12,12,6,0,0,0.46,0,13,98,98,94,90.2,0
179,0,9625.22,9,3,3,0,1,0.13,0,13,98,98,100,93.8,0
180,1,1895.86,9,0,5,0,0,1.9,0,14,80.1,98,84.6,100,0
181,1,3907.33,6,12,1,0,0,0.49,0,12,86.1,98,90.9,100,0
182,0,7791.31,3,12,2,0,1,0.77,0,16,94.2,98,97.4,98.4,0
183,0,5858.74,6,3,3,0,0,0.74,1,15,87.5,98,93.1,100,0
184,0,20016.36,9,6,2,1,0,2.85,0,16,98,98,98.3,97.9,0
185,0,15558.65,3,9,2,0,0,0.47,0,18,98,98,100,100,0
186,0,8613.91,0,3,3,0,0,0.68,1,16,93.5,98,97.3,93.2,0
187,0,25925.9,6,12,3,0,0,0.09,1,15,98,98,97.1,92.9,0
188,0,10930.33,9,9,1,0,0,0.92,0,16,98,98,89.1,100,0
189,0,7067.6,0,9,5,0,0,0.23,0,16,88.7,98,84.6,100,0
190,0,5422.05,9,0,2,0,0,0.41,0,17,78,98,75.5,100,0
191,0,12516.68,12,9,2,1,0,1.12,1,17,98,98,100,100,0
192,0,5409.17,9,9,1,1,1,8.97,0,13,88.2,98,91.1,100,0
193,0,15205.87,3,3,6,1,0,1.22,0,13,98,98,93.5,100,0
194,0,10308.87,16,0,1,0,1,1.05,1,17,98,98,93.3,96.5,0
195,0,23113.66,3,6,1,0,1,1.07,0,16,98,98,96.5,100,0
196,0,15348.1,6,12,1,1,0,1.23,0,15,98,98,100,100,0
197,0,16005.51,9,0,2,1,0,3.06,1,12,98,98,93.9,88.9,0
198,0,5682.49,9,6,1,0,0,0.53,0,12,93.4,98,97.4,99.7,0
199,0,5667.94,12,0,2,1,0,11.39,1,14,79.9,98,77.1,91.2,0
200,0,8189.79,6,6,1,1,0,1.78,0,16,98,98,99.6,100,0
201,1,2568.52,0,9,1,0,0,0.61,0,14,66.2,95.6,68.8,100,0
202,0,4898.05,6,6,3,1,0,4.7,1,18,97.4,98,100,95.8,0
203,0,9845.97,12,6,3,0,0,0.03,1,13,98,98,98.9,100,0
204,0,18895.7,12,3,0,1,1,4.31,1,12,98,98,100,100,0
205,0,15757.62,0,12,4,0,1,0.63,0,15,98,98,93.2,98.5,0
206,0,8814.64,3,0,3,1,0,3.48,0,14,90.9,98,84.7,100,0
207,1,2011.49,3,0,2,1,0,0.46,1,15,56.8,85.6,72.4,100,0
208,0,13577.88,0,9,1,1,0,0.1,1,14,98,98,98.5,96.9,0
209,0,8757.65,3,3,3,0,1,0.05,0,15,98,98,100,100,0
210,0,7620.62,6,0,1,0,0,0.42,0,16,90.4,98,91,100,0
211,0,17917.99,16,16,3,1,0,1.99,1,15,98,98,100,97.9,0
212,0,4074.89,9,9,3,1,0,1.95,0,13,83.1,87.8,87.7,97.3,0
213,0,6468.74,0,0,0,0,0,0.56,0,15,73.2,98,80.3,100,0
214,0,42319.27,6,12,3,1,0,0.4,0,12,98,98,89.1,99.4,0
215,0,4967.93,9,0,4,0,0,0.63,1,13,82,98,60.1,97.8,0
216,0,10430.51,6,0,3,0,0,1.95,1,15,98,98,99.2,95.6,0
217,0,13742.31,3,6,3,0,0,0.03,0,13,98,98,100,100,0
218,0,2043.13,3,6,1,0,0,0.21,0,16,66.5,98,58.2,100,0
219,1,1468.94,0,9,3,0,0,0.29,1,14,70.3,93,84.8,100,0
220,0,8562.58,3,6,3,0,0,0.46,1,13,91.3,98,100,100,0
221,0,16224.17,6,3,4,1,0,8.49,0,15,98,98,89.2,99.1,0
222,1,1297.2,6,0,4,0,0,1.25,1,13,65.8,94.3,74.6,100,0
223,0,7185.7,6,3,5,0,1,0.55,1,16,91.6,98,100,100,0
224,0,6535.31,9,9,1,0,0,0.17,1,14,98,98,100,97.9,0
225,0,33964.31,3,6,1,0,0,0.26,1,14,98,98,100,99.3,0
226,0,13874.59,0,3,1,1,0,1.17,0,18,83.6,98,82.7,96.1,0
227,0,6853.8,3,6,3,1,0,1.9,0,17,82,98,70.5,92.8,0
228,0,8182.44,0,12,4,0,0,0.08,0,15,86.6,98,93.9,94.7,0
229,0,27647.58,3,9,5,1,0,2.68,1,12,98,98,91.1,95.7,0
230,0,8619.94,16,12,3,1,0,1.91,0,14,98,98,100,100,0
231,0,8627.84,3,9,1,0,0,1.12,1,16,98,98,95.5,91.9,0
232,0,4344.17,6,16,0,0,0,0.02,1,14,90.3,98,77.1,100,0
233,0,9258.04,12,3,2,0,1,1.53,1,13,98,98,93.1,100,0
234,0,10019.21,6,9,3,0,0,0.27,1,15,98,98,99.2,100,0
235,0,16524.92,3,12,2,0,0,0.73,0,14,98,98,94.9,85.4,0
236,0,5573,3,3,2,0,0,0.04,1,17,73.8,98,70.5,97.9,0
237,0,14864.03,12,6,1,1,1,1.07,1,15,98,98,88.9,92.8,0
238,1,4849.4,12,6,3,0,1,0.58,1,16,95.8,98,95,100,0
239,0,13388.31,12,12,5,1,1,0.66,1,12,98,98,87.8,95.2,0
240,0,9883.92,9,3,2,0,0,0.51,0,15,98,98,100,87.4,0
241,1,4628.27,12,9,1,0,0,0.04,0,14,98,98,100,100,0
242,0,5146.53,3,0,2,0,0,0.83,0,15,77.2,98,70.5,100,0
243,0,6574.05,3,9,2,0,0,0.23,0,15,71.5,98,65.2,95.1,0
244,1,3459.54,0,0,0,0,1,1.93,1,15,63.3,89.3,80.7,93.8,0
245,0,7442.08,6,12,4,0,0,0.01,0,16,98,98,98.7,100,0
246,0,15016.17,3,9,1,0,0,2.82,1,16,98,98,100,95.5,0
247,0,72978.7,16,3,4,0,0,0.91,0,16,98,98,97.6,97.5,0
248,0,7576.85,9,6,3,0,0,0.25,0,16,98,98,100,96.2,0
249,0,12517.14,9,6,1,0,0,0.25,0,12,98,98,94.4,96.4,0
250,0,14798.62,12,3,2,1,0,0.96,1,18,98,98,85.4,96.2,0
251,1,4243.15,12,6,1,0,1,1.45,1,15,87.2,98,90.6,100,0
252,0,18049.91,12,16,5,0,0,1.45,0,13,98,98,100,100,0
253,0,11670.76,0,12,2,0,0,0.62,1,14,98,98,100,100,0
254,1,2572.41,16,0,4,0,0,0.44,1,16,93.7,98,100,100,0
255,0,6553.51,0,0,3,0,0,0.49,0,12,70.6,98,70.6,100,0
256,0,13540.16,9,9,4,0,0,0.37,0,16,98,98,100,99,0
257,0,5813.76,3,3,1,0,0,0.85,0,16,78,98,77.6,100,0
258,1,5610.19,12,0,1,1,1,0.67,1,12,92,98,100,100,0
259,1,4298.43,6,9,2,1,1,2.16,0,14,91,98,100,100,0
260,0,3207.25,0,6,2,0,0,2.88,0,15,69.5,90.7,71,98.4,0
261,0,14309.97,3,0,0,1,0,4.94,1,16,88.6,98,95.5,100,0
262,0,22338.82,3,12,1,0,0,0.53,0,14,98,98,95.6,93.6,0
263,0,7226.28,0,9,3,0,1,0.03,0,13,83.4,98,73.7,89,0
264,1,5366.75,12,12,0,0,0,0.3,1,17,98,98,100,100,0
265,0,26537.47,3,9,1,0,1,0.35,0,15,98,98,99.1,99.5,0
266,0,7114.77,12,6,2,0,0,1.17,1,13,98,98,99.9,100,0
267,0,8378.02,3,6,3,0,0,0.15,0,15,87.1,98,83.8,100,0
268,0,11925.47,0,9,2,0,0,0.87,0,14,98,98,94.1,98.2,0
269,0,3152.33,3,6,2,0,0,0.86,0,14,79.4,91.3,88.2,98.6,0
270,0,4765.42,3,3,5,0,0,0.34,1,15,73.9,98,60,100,0
271,1,4876.97,12,6,2,0,0,1.02,0,12,92.4,98,100,100,0
272,0,4621.29,12,6,0,1,0,2.42,0,16,92.7,98,96.1,96.5,0
273,0,12854.9,12,12,3,0,0,0.2,0,14,98,98,94.5,100,0
274,1,1494.48,0,9,3,1,0,1.18,0,12,62.3,76,82.6,100,0
275,0,9983.89,9,6,3,1,0,0.5,0,17,98,98,100,100,0
276,0,20286.31,9,6,1,1,0,3.08,1,13,98,98,90.7,100,0
277,0,8199.55,6,0,2,1,0,11.51,0,14,97.2,98,86.2,100,0
278,0,6314.53,6,9,0,0,0,0.32,1,13,96.3,98,96,100,0
279,0,3770.8,3,6,0,0,0,0.16,0,15,71.2,98,76.6,94.6,0
280,0,11833.99,9,6,3,1,0,0.58,1,13,98,98,93.5,100,0
281,1,2413.68,9,3,0,1,0,1.93,0,14,69.2,89,92.3,100,0
282,0,9241.18,6,6,2,0,0,0.3,0,13,98,98,100,96.3,0
283,1,4037.2,9,6,1,0,0,0.08,1,17,92.6,98,92.9,100,0
284,0,28988.75,9,12,3,0,0,0.43,0,18,98,98,98.2,100,0
285,0,13592.56,6,0,3,0,1,0.19,0,14,98,98,88.5,97.3,0
286,0,10784.83,3,9,4,0,0,1.7,0,16,98,98,97.3,96.6,0
287,0,8794.79,6,0,3,0,0,1.2,1,15,94.5,98,98.1,100,0
288,0,4721.05,3,0,3,1,0,0.98,0,13,82.4,95.3,67.9,88.8,0
289,0,17635.48,6,9,2,1,0,5.56,0,13,98,98,95.5,93.9,0
290,0,14834.28,3,9,1,1,0,4.12,0,14,98,98,87.3,100,0
291,0,5752.39,3,9,1,0,1,0.62,1,15,94,98,92.6,100,0
292,0,4577.28,0,12,2,1,0,0.99,0,13,81.2,98,80.4,100,0
293,0,6958.32,6,9,3,0,1,0.25,0,16,98,98,100,94.5,0
294,0,11157.78,12,16,2,0,0,5.2,1,15,98,98,98.5,98.9,0
295,1,3706.06,6,6,1,0,0,0.38,1,17,92.6,97.8,89.2,100,0
296,0,9386.14,3,9,2,0,0,0.69,0,15,98,98,91.6,97.5,0
297,1,1450.63,0,9,4,1,0,1.99,0,15,77.2,89.1,80.2,100,0
298,0,4922.77,6,12,1,0,0,0.01,0,18,98,98,100,100,0
299,0,4392.48,9,6,2,1,0,1.25,1,14,88,98,98.5,99.6,0
300,0,11748.11,3,16,1,0,0,0.31,1,12,98,98,100,100,0
301,0,12305.8,16,12,3,0,0,2.12,1,16,98,98,99,100,0
302,0,8166.82,12,6,1,0,0,1.18,1,13,97.7,98,100,92.9,0
303,0,5696.34,6,9,2,0,0,0.03,1,15,86.7,98,85.5,97,0
304,0,21154.16,12,12,2,1,0,7.93,0,17,98,98,100,94.9,0
305,0,7376.28,9,6,3,0,0,1.35,1,14,98,98,100,94.9,0
306,0,8354.6,12,16,2,1,1,0.65,1,13,98,98,100,96.2,0
307,0,21075.04,0,12,4,1,0,2.48,0,12,98,98,94.1,99.7,0
308,0,10669.74,0,9,1,1,0,0.64,1,12,78.1,98,79.6,97.9,0
309,0,6227.57,0,6,3,0,0,0.41,1,14,82.8,98,93.6,100,0
310,0,30843.65,9,3,5,0,0,0.14,0,17,98,98,98.7,100,0
311,1,3887.62,12,6,2,0,0,0.24,1,14,90.8,98,92.7,100,0
312,0,7553.41,16,3,6,0,0,0.43,0,16,98,98,100,98.5,0
313,0,23300.61,6,0,1,0,0,0.29,1,18,98,98,100,92.5,0
314,0,32358.4,3,0,5,1,0,7.47,1,18,98,98,97,90.6,0
315,0,45710.21,9,16,2,0,0,0.68,1,14,98,98,100,100,0
316,0,6294.39,6,6,3,0,0,0.92,0,16,95,98,87.9,100,0
317,0,5114.95,6,6,2,0,1,0.45,1,17,82.7,98,91.2,96.8,0
318,1,2630.46,9,12,6,0,0,0.82,0,16,88.3,98,89.5,100,0
319,0,49726.23,9,12,3,0,0,1.08,1,14,98,98,100,96.2,0
320,0,4373.49,9,6,2,0,0,0.04,0,15,85.8,98,99,97.3,0
321,0,10984.63,3,9,4,0,0,1.06,0,18,98,98,100,100,0
322,0,13149.11,3,6,3,0,0,0.28,1,13,98,98,98.1,100,0
323,0,18319.83,0,9,2,0,0,0.3,1,15,98,98,97.4,91,0
324,0,11848.47,9,12,1,0,0,0.36,1,14,98,98,86.7,90.9,0
325,1,1409.86,6,16,3,0,0,0.03,0,16,98,98,98.4,100,0
326,0,17095.21,16,9,0,0,0,1.91,1,13,98,98,96.8,99.3,0
327,0,11853.14,12,9,6,0,0,0.46,0,18,98,98,97.8,93,0
328,0,11072.56,12,0,3,1,0,7.1,1,13,98,98,97.2,100,0
329,0,4528.46,12,12,3,0,0,0.08,0,17,98,98,100,100,0
330,0,17840.83,12,9,5,0,0,0.39,0,13,98,98,97.7,100,0
331,0,25315.87,9,6,5,0,0,0.12,1,14,98,98,100,95.8,0
332,0,11941.61,3,6,3,1,0,2.69,1,16,94.2,98,100,90.4,0
333,0,10714.88,6,3,1,0,0,0.08,1,14,98,98,95.1,94.4,0
334,0,16124.57,3,6,2,0,0,0.55,1,18,98,98,89.2,99.9,0
335,0,11200.22,12,6,1,0,0,0.53,1,13,98,98,99.2,99.2,0
336,0,10868.63,16,9,6,0,0,0.4,0,16,98,98,90.8,96.2,0
337,1,2403.4,6,0,5,1,0,1.54,0,13,70.2,88.8,85,100,0
338,0,27996.72,6,0,2,0,0,0.22,1,16,98,98,100,88.9,0
339,0,12087.23,0,6,1,0,0,0.85,1,14,98,98,87.8,92.4,0
340,0,11715.85,3,3,1,0,0,0,1,18,87.7,98,85.4,97.3,0
341,0,42674.97,3,6,1,1,1,6.67,1,15,98,98,100,100,0
342,0,6335.22,12,9,1,1,0,4.06,0,14,98,98,100,90.3,0
343,0,17359.53,3,3,0,0,0,0.84,1,15,98,98,100,100,0
